pair_id,index_symbol,carrier,leg,horizon,index_row,timestamp,direction
000852.SH:R1_A:353342:353340,000852.SH,512100.SH,control,240,353580,2021-01-20T13:20:00+08:00,1
000852.SH:R1_A:353993:353992,000852.SH,512100.SH,event,0,353993,2021-01-22T10:43:00+08:00,1
000852.SH:R1_A:353993:353992,000852.SH,512100.SH,event,1,353994,2021-01-22T10:44:00+08:00,1
000852.SH:R1_A:353993:353992,000852.SH,512100.SH,event,5,353998,2021-01-22T10:48:00+08:00,1
000852.SH:R1_A:353993:353992,000852.SH,512100.SH,event,15,354008,2021-01-22T10:58:00+08:00,1
000852.SH:R1_A:353993:353992,000852.SH,512100.SH,event,30,354023,2021-01-22T11:13:00+08:00,1
000852.SH:R1_A:353993:353992,000852.SH,512100.SH,event,60,354053,2021-01-22T13:13:00+08:00,1
000852.SH:R1_A:353993:353992,000852.SH,512100.SH,event,120,354113,2021-01-22T14:13:00+08:00,1
000852.SH:R1_A:353993:353992,000852.SH,512100.SH,event,240,354233,2021-01-25T10:43:00+08:00,1
000852.SH:R1_A:353993:353992,000852.SH,512100.SH,control,0,353992,2021-01-22T10:42:00+08:00,1
000852.SH:R1_A:353993:353992,000852.SH,512100.SH,control,1,353993,2021-01-22T10:43:00+08:00,1
000852.SH:R1_A:353993:353992,000852.SH,512100.SH,control,5,353997,2021-01-22T10:47:00+08:00,1
000852.SH:R1_A:353993:353992,000852.SH,512100.SH,control,15,354007,2021-01-22T10:57:00+08:00,1
000852.SH:R1_A:353993:353992,000852.SH,512100.SH,control,30,354022,2021-01-22T11:12:00+08:00,1
000852.SH:R1_A:353993:353992,000852.SH,512100.SH,control,60,354052,2021-01-22T13:12:00+08:00,1
000852.SH:R1_A:353993:353992,000852.SH,512100.SH,control,120,354112,2021-01-22T14:12:00+08:00,1
000852.SH:R1_A:353993:353992,000852.SH,512100.SH,control,240,354232,2021-01-25T10:42:00+08:00,1
000852.SH:R1_A:354524:354521,000852.SH,512100.SH,event,0,354524,2021-01-26T13:04:00+08:00,-1
000852.SH:R1_A:354524:354521,000852.SH,512100.SH,event,1,354525,2021-01-26T13:05:00+08:00,-1
000852.SH:R1_A:354524:354521,000852.SH,512100.SH,event,5,354529,2021-01-26T13:09:00+08:00,-1
000852.SH:R1_A:354524:354521,000852.SH,512100.SH,event,15,354539,2021-01-26T13:19:00+08:00,-1
000852.SH:R1_A:354524:354521,000852.SH,512100.SH,event,30,354554,2021-01-26T13:34:00+08:00,-1
000852.SH:R1_A:354524:354521,000852.SH,512100.SH,event,60,354584,2021-01-26T14:04:00+08:00,-1
000852.SH:R1_A:354524:354521,000852.SH,512100.SH,event,120,354644,2021-01-27T09:34:00+08:00,-1
000852.SH:R1_A:354524:354521,000852.SH,512100.SH,event,240,354764,2021-01-27T13:04:00+08:00,-1
000852.SH:R1_A:354524:354521,000852.SH,512100.SH,control,0,354521,2021-01-26T13:01:00+08:00,-1
000852.SH:R1_A:354524:354521,000852.SH,512100.SH,control,1,354522,2021-01-26T13:02:00+08:00,-1
000852.SH:R1_A:354524:354521,000852.SH,512100.SH,control,5,354526,2021-01-26T13:06:00+08:00,-1
000852.SH:R1_A:354524:354521,000852.SH,512100.SH,control,15,354536,2021-01-26T13:16:00+08:00,-1
000852.SH:R1_A:354524:354521,000852.SH,512100.SH,control,30,354551,2021-01-26T13:31:00+08:00,-1
000852.SH:R1_A:354524:354521,000852.SH,512100.SH,control,60,354581,2021-01-26T14:01:00+08:00,-1
000852.SH:R1_A:354524:354521,000852.SH,512100.SH,control,120,354641,2021-01-27T09:31:00+08:00,-1
