contract_code,option_type,strike,expiry,timestamp,bid1,bid1_size,ask1,ask1_size,last_price,volume,open_interest,trading_status
MO2302-C-7000,C,7000.0,2023-02-17,2022-12-06 09:32:49.9,114.0,1,121.6,6,115.0,0,140,TRADING
MO2302-C-7100,C,7100.0,2023-02-17,2022-12-06 09:32:49.9,87.8,6,92.8,1,93.0,0,76,TRADING
MO2302-C-7200,C,7200.0,2023-02-17,2022-12-06 09:32:49.9,66.8,6,72.6,6,68.6,0,26,TRADING
MO2302-C-7300,C,7300.0,2023-02-17,2022-12-06 09:32:49.9,50.8,27,54.4,6,52.2,0,37,TRADING
MO2302-C-7400,C,7400.0,2023-02-17,2022-12-06 09:32:49.9,38.0,18,41.2,33,40.2,0,59,TRADING
MO2302-P-6100,P,6100.0,2023-02-17,2022-12-06 09:32:49.9,55.2,6,60.0,6,57.2,0,48,TRADING
MO2302-P-6200,P,6200.0,2023-02-17,2022-12-06 09:32:49.9,75.8,7,80.2,6,77.4,0,98,TRADING
MO2302-P-6300,P,6300.0,2023-02-17,2022-12-06 09:32:49.9,98.8,6,104.0,1,99.6,0,68,TRADING
MO2302-P-6400,P,6400.0,2023-02-17,2022-12-06 09:32:49.9,127.2,13,134.0,1,132.6,0,102,TRADING
MO2302-P-6500,P,6500.0,2023-02-17,2022-12-06 09:32:49.9,165.0,7,172.8,7,175.4,0,119,TRADING
MO2302-P-6600,P,6600.0,2023-02-17,2022-12-06 09:32:49.9,209.0,1,216.4,7,218.2,0,52,TRADING
MO2302-P-6700,P,6700.0,2023-02-17,2022-12-06 09:32:49.9,256.2,6,266.0,7,263.8,0,47,TRADING
MO2302-P-6800,P,6800.0,2023-02-17,2022-12-06 09:32:49.9,312.6,1,322.0,1,314.0,0,8,TRADING
MO2302-P-6900,P,6900.0,2023-02-17,2022-12-06 09:32:49.9,371.4,6,384.0,1,386.4,0,2,TRADING
MO2302-P-7000,P,7000.0,2023-02-17,2022-12-06 09:32:49.9,440.2,6,452.4,1,500.0,0,14,TRADING
MO2302-P-7100,P,7100.0,2023-02-17,2022-12-06 09:32:49.9,512.4,6,526.6,13,535.8,0,4,TRADING
MO2302-P-7200,P,7200.0,2023-02-17,2022-12-06 09:32:49.9,591.2,6,604.2,6,730.2,0,15,TRADING
MO2302-P-7300,P,7300.0,2023-02-17,2022-12-06 09:32:49.9,674.0,6,687.2,6,1000.0,0,2,TRADING
MO2302-P-7400,P,7400.0,2023-02-17,2022-12-06 09:32:49.9,761.0,6,774.4,6,941.6,0,2,TRADING
