horizon,group,field,absolute_error
1,YEAR_2020_SHORT,parent_mse_bp2,3.12638803734444e-13
1,YEAR_2020_SHORT,parent_rmse_bp,1.77635683940025e-15
1,YEAR_2020_SHORT,past_mean_forecast_mse_bp2,7.105427357601e-14
1,YEAR_2020_SHORT,positive_loss_improvement_fraction,3.33066907387547e-16
1,YEAR_2020_SHORT,relative_mse_reduction,4.33680868994202e-17
1,YEAR_2020_SHORT,target_mean_bp,1.33226762955019e-15
1,YEAR_2020_SHORT,target_median_bp,0
1,YEAR_2020_SHORT,zero_forecast_mse_bp2,8.5265128291212e-14
5,POOLED,enhanced_mae_bp,3.90798504668055e-14
5,POOLED,enhanced_mean_error_bp,8.88178419700125e-16
5,POOLED,enhanced_mean_prediction_bp,0
5,POOLED,enhanced_mse_bp2,4.32009983342141e-12
5,POOLED,enhanced_rmse_bp,1.4210854715202e-14
5,POOLED,mean_loss_improvement_bp2,1.95399252334028e-14
5,POOLED,median_loss_improvement_bp2,1.35003119794419e-13
5,POOLED,parent_mae_bp,1.77635683940025e-14
5,POOLED,parent_mean_error_bp,1.33226762955019e-15
5,POOLED,parent_mean_prediction_bp,9.0205620750794e-17
5,POOLED,parent_mse_bp2,2.27373675443232e-13
5,POOLED,parent_rmse_bp,1.4210854715202e-14
5,POOLED,past_mean_forecast_mse_bp2,4.32009983342141e-12
5,POOLED,positive_loss_improvement_fraction,3.88578058618805e-16
5,POOLED,relative_mse_reduction,1.23165366794353e-16
5,POOLED,target_mean_bp,0
5,POOLED,target_median_bp,0
5,POOLED,zero_forecast_mse_bp2,0
5,YEAR_2016,enhanced_mae_bp,2.48689957516035e-14
5,YEAR_2016,enhanced_mean_error_bp,2.1094237467878e-15
5,YEAR_2016,enhanced_mean_prediction_bp,2.66453525910038e-15
5,YEAR_2016,enhanced_mse_bp2,4.09272615797818e-12
5,YEAR_2016,enhanced_rmse_bp,4.2632564145606e-14
5,YEAR_2016,mean_loss_improvement_bp2,1.77635683940025e-14
5,YEAR_2016,median_loss_improvement_bp2,1.11022302462516e-14
5,YEAR_2016,parent_mae_bp,3.19744231092045e-14
5,YEAR_2016,parent_mean_error_bp,4.44089209850063e-15
5,YEAR_2016,parent_mean_prediction_bp,4.9960036108132e-16
5,YEAR_2016,parent_mse_bp2,3.18323145620525e-12
5,YEAR_2016,parent_rmse_bp,1.4210854715202e-14
