carrier,study,horizon,group,old_n,new_n,gate_pass_after_known_patch,membership_changed,etf_event_old_mean_bp,etf_event_new_mean_bp,etf_event_mean_change_bp,etf_control_old_mean_bp,etf_control_new_mean_bp,etf_control_mean_change_bp,etf_incremental_old_mean_bp,etf_incremental_new_mean_bp,etf_incremental_mean_change_bp
512100.SH,published_endpoint,240,2022,300,300,True,False,1.92988159193558,1.92988159193558,0,6.07493840647589,6.07493840647589,0,-4.14505681454027,-4.14505681454027,0
512100.SH,published_endpoint,240,2023,178,178,True,False,-3.46052803300604,-3.46052803300604,0,9.69439149201454,9.69439149201454,0,-13.1549195250205,-13.1549195250205,0
512100.SH,published_endpoint,240,2024,373,373,True,False,24.265163373735,24.265163373735,0,3.57458322346872,3.57458322346872,0,20.6905801502663,20.6905801502663,0
512100.SH,published_endpoint,240,2025,247,247,True,False,-1.23666868486952,-1.23666868486952,0,-19.8825812927979,-19.8825812927979,0,18.6459126079284,18.6459126079284,0
512100.SH,published_endpoint,240,LONG,610,610,True,False,14.2575569684777,14.2575569684777,0,-1.39781713074864,-1.39781713074864,0,15.6553740992263,15.6553740992263,0
512100.SH,published_endpoint,240,SHORT,651,651,True,False,-2.95545599305084,-2.95545599305084,0,3.71141208633997,3.71141208633997,0,-6.66686807939074,-6.66686807939074,0
588000.SH,published_endpoint,1,ALL,1802,1802,True,False,0.138791034527977,0.138791034527977,0,-0.491685248256761,-0.491685248256761,0,0.630476282784752,0.630476282784752,0
588000.SH,published_endpoint,1,2021,336,336,True,False,0.598706321257997,0.598706321257997,0,0.154333962398899,0.154333962398899,0,0.44437235885915,0.44437235885915,0
588000.SH,published_endpoint,1,2022,409,409,True,False,0.298495542340971,0.298495542340971,0,-0.517552086810758,-0.517552086810758,0,0.816047629151741,0.816047629151741,0
588000.SH,published_endpoint,1,2023,235,235,True,False,-1.70424635102816,-1.70424635102816,0,0.72143509824437,0.72143509824437,0,-2.42568144927255,-2.42568144927255,0
588000.SH,published_endpoint,1,2024,436,436,True,False,0.830943992395713,0.830943992395713,0,-1.27159159071235,-1.27159159071235,0,2.1025355831081,2.1025355831081,0
588000.SH,published_endpoint,1,2025,386,386,True,False,-0.090523950087158,-0.090523950087158,0,-0.884242330973977,-0.884242330973977,0,0.793718380886793,0.793718380886793,0
588000.SH,published_endpoint,1,LONG,869,869,True,False,0.696815004498181,0.696815004498181,0,-0.81299862871673,-0.81299862871673,0,1.50981363321492,1.50981363321492,0
588000.SH,published_endpoint,1,SHORT,933,933,True,False,-0.380954763868708,-0.380954763868708,0,-0.192412657024487,-0.192412657024487,0,-0.188542106844208,-0.188542106844208,0
588000.SH,published_endpoint,5,ALL,1802,1802,True,False,1.78333606614219,1.78333606614219,0,-0.138327750002322,-0.138327750002322,0,1.92166381614454,1.92166381614454,0
588000.SH,published_endpoint,5,2021,336,336,True,False,2.38875866589013,2.38875866589013,0,1.15717753864068,1.15717753864068,0,1.2315811272495,1.2315811272495,0
588000.SH,published_endpoint,5,2022,409,409,True,False,3.65978063622911,3.65978063622911,0,-0.791927958855088,-0.791927958855088,0,4.4517085950842,4.4517085950842,0
588000.SH,published_endpoint,5,2023,235,235,True,False,-2.22148881185984,-2.22148881185984,0,-1.10111694554879,-1.10111694554879,0,-1.12037186631099,-1.12037186631099,0
588000.SH,published_endpoint,5,2024,436,436,True,False,2.94259637611092,2.94259637611092,0,-0.301351806630812,-0.301351806630812,0,3.24394818274178,3.24394818274178,0
588000.SH,published_endpoint,5,2025,386,386,True,False,0.396829663300868,0.396829663300868,0,0.196819032588803,0.196819032588803,0,0.200010630712079,0.200010630712079,0
588000.SH,published_endpoint,5,LONG,869,869,True,False,1.91035263338289,1.91035263338289,0,-1.16785891938919,-1.16785891938919,0,3.07821155277209,3.07821155277209,0
588000.SH,published_endpoint,5,SHORT,933,933,True,False,1.66503231809057,1.66503231809057,0,0.820581774324783,0.820581774324783,0,0.844450543765829,0.844450543765829,0
588000.SH,published_endpoint,15,ALL,1802,1802,True,False,3.66802153106928,3.66802153106928,0,0.54998370272559,0.54998370272559,0,3.1180378283437,3.1180378283437,0
588000.SH,published_endpoint,15,2021,336,336,True,False,4.30799539913823,4.30799539913823,0,0.43294275045392,0.43294275045392,0,3.87505264868429,3.87505264868429,0
588000.SH,published_endpoint,15,2022,409,409,True,False,4.14387798939098,4.14387798939098,0,-3.76989176054714,-3.76989176054714,0,7.91376974993815,7.91376974993815,0
