pair_id,event_day,side,old_eligible,old_reason,new_eligible,new_reason
000852.SH:R1_A:388253:407460,2021-08-25,LONG,False,control_missing_or_zero_volume_minute,False,control_missing_or_zero_volume_minute
000852.SH:R1_A:388491:382737,2021-08-26,LONG,False,control_missing_or_zero_volume_minute,False,control_missing_or_zero_volume_minute
000852.SH:R1_A:388551:391448,2021-08-26,LONG,False,control_missing_or_zero_volume_minute,False,control_missing_or_zero_volume_minute
000852.SH:R1_A:388822:388821,2021-08-27,SHORT,True,complete_common_path,True,complete_common_path
000852.SH:R1_A:389067:389066,2021-08-30,SHORT,True,complete_common_path,True,complete_common_path
000852.SH:R1_A:389508:389507,2021-09-01,SHORT,True,complete_common_path,True,complete_common_path
000852.SH:R1_A:389588:404444,2021-09-01,SHORT,False,event_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute
000852.SH:R1_A:389690:361842,2021-09-02,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:389900:363733,2021-09-02,LONG,False,control_missing_or_zero_volume_minute,False,control_missing_or_zero_volume_minute
000852.SH:R1_A:390028:407550,2021-09-03,LONG,False,control_missing_or_zero_volume_minute,False,control_missing_or_zero_volume_minute
000852.SH:R1_A:390810:390809,2021-09-08,LONG,True,complete_common_path,True,complete_common_path
000852.SH:R1_A:390982:384277,2021-09-09,LONG,False,control_missing_or_zero_volume_minute,False,control_missing_or_zero_volume_minute
000852.SH:R1_A:391060:361569,2021-09-09,LONG,False,control_missing_or_zero_volume_minute,False,control_missing_or_zero_volume_minute
000852.SH:R1_A:391142:385371,2021-09-10,SHORT,False,control_missing_or_zero_volume_minute,False,control_missing_or_zero_volume_minute
000852.SH:R1_A:391463:391462,2021-09-13,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:391804:391801,2021-09-14,LONG,True,complete_common_path,True,complete_common_path
000852.SH:R1_A:391853:364251,2021-09-15,LONG,False,control_missing_or_zero_volume_minute,False,control_missing_or_zero_volume_minute
000852.SH:R1_A:391984:368205,2021-09-15,SHORT,False,control_missing_or_zero_volume_minute,False,control_missing_or_zero_volume_minute
000852.SH:R1_A:392159:383982,2021-09-16,SHORT,False,control_missing_or_zero_volume_minute,False,control_missing_or_zero_volume_minute
000852.SH:R1_A:392183:369623,2021-09-16,SHORT,False,control_missing_or_zero_volume_minute,False,control_missing_or_zero_volume_minute
000852.SH:R1_A:392230:406390,2021-09-16,SHORT,False,control_missing_or_zero_volume_minute,False,control_missing_or_zero_volume_minute
000852.SH:R1_A:392299:361097,2021-09-16,SHORT,False,control_missing_or_zero_volume_minute,False,control_missing_or_zero_volume_minute
000852.SH:R1_A:392342:361126,2021-09-17,SHORT,False,control_missing_or_zero_volume_minute,False,control_missing_or_zero_volume_minute
000852.SH:R1_A:392376:360192,2021-09-17,SHORT,False,control_missing_or_zero_volume_minute,False,control_missing_or_zero_volume_minute
000852.SH:R1_A:392427:381851,2021-09-17,SHORT,False,control_missing_or_zero_volume_minute,False,control_missing_or_zero_volume_minute
000852.SH:R1_A:392569:368332,2021-09-22,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:392861:392860,2021-09-23,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:393077:377715,2021-09-24,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:393312:360442,2021-09-27,SHORT,False,control_missing_or_zero_volume_minute,False,control_missing_or_zero_volume_minute
000852.SH:R1_A:393368:360700,2021-09-27,SHORT,False,control_missing_or_zero_volume_minute,False,control_missing_or_zero_volume_minute
000852.SH:R1_A:393488:404740,2021-09-27,SHORT,False,event_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute
000852.SH:R1_A:393824:393822,2021-09-29,SHORT,True,complete_common_path,True,complete_common_path
