source,symbol,trading_day,from_state,to_state,change_start_time,event_time,bar_ordinal_day,judge_center_eligible_ordinal,judge_available_eligible_ordinal,judge_available_event_time,matched,match_id,event_role,eligible_ordinal
independent_judge_center_v3,000852.SH,2016-10-21,Shock,UpTrend,2016-10-21 13:30:00+08:00,2016-10-21 13:35:00+08:00,30,18.0,26.0,2016-10-21 14:15:00+08:00,True,32,judge,
independent_judge_center_v3,000852.SH,2016-11-03,UpTrend,DownTrend,2016-11-03 13:45:00+08:00,2016-11-03 13:50:00+08:00,33,21.0,29.0,2016-11-03 14:30:00+08:00,True,33,judge,
independent_judge_center_v3,000852.SH,2016-11-15,Range,UpTrend,2016-11-15 11:10:00+08:00,2016-11-15 11:15:00+08:00,20,8.0,16.0,2016-11-15 13:25:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2016-11-22,Range,UpTrend,2016-11-22 11:20:00+08:00,2016-11-22 11:25:00+08:00,22,10.0,18.0,2016-11-22 13:35:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2016-11-22,UpTrend,Range,2016-11-22 13:30:00+08:00,2016-11-22 13:35:00+08:00,30,18.0,26.0,2016-11-22 14:15:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2016-11-25,Shock,UpTrend,2016-11-25 11:05:00+08:00,2016-11-25 11:10:00+08:00,19,7.0,15.0,2016-11-25 13:20:00+08:00,True,34,judge,
independent_judge_center_v3,000852.SH,2016-12-06,Range,UpTrend,2016-12-06 13:05:00+08:00,2016-12-06 13:10:00+08:00,25,13.0,21.0,2016-12-06 13:50:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2016-12-14,Range,UpTrend,2016-12-14 11:05:00+08:00,2016-12-14 11:10:00+08:00,19,7.0,15.0,2016-12-14 13:20:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2016-12-14,UpTrend,Range,2016-12-14 13:40:00+08:00,2016-12-14 13:45:00+08:00,32,20.0,28.0,2016-12-14 14:25:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2016-12-22,Range,UpTrend,2016-12-22 13:15:00+08:00,2016-12-22 13:20:00+08:00,27,15.0,23.0,2016-12-22 14:00:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2016-12-30,DownTrend,UpTrend,2016-12-30 13:10:00+08:00,2016-12-30 13:15:00+08:00,26,14.0,22.0,2016-12-30 13:55:00+08:00,True,35,judge,
independent_judge_center_v3,000852.SH,2017-01-06,Range,DownTrend,2017-01-06 11:30:00+08:00,2017-01-06 13:05:00+08:00,24,12.0,20.0,2017-01-06 13:45:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2017-01-09,UpTrend,Range,2017-01-09 13:15:00+08:00,2017-01-09 13:20:00+08:00,27,15.0,23.0,2017-01-09 14:00:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2017-01-10,UpTrend,DownTrend,2017-01-10 13:10:00+08:00,2017-01-10 13:15:00+08:00,26,14.0,22.0,2017-01-10 13:55:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2017-01-12,Range,DownTrend,2017-01-12 13:05:00+08:00,2017-01-12 13:10:00+08:00,25,13.0,21.0,2017-01-12 13:50:00+08:00,True,36,judge,
independent_judge_center_v3,000852.SH,2017-01-13,Shock,DownTrend,2017-01-13 11:30:00+08:00,2017-01-13 13:05:00+08:00,24,12.0,20.0,2017-01-13 13:45:00+08:00,True,37,judge,
independent_judge_center_v3,000852.SH,2017-01-13,DownTrend,Shock,2017-01-13 13:40:00+08:00,2017-01-13 13:45:00+08:00,32,20.0,28.0,2017-01-13 14:25:00+08:00,True,38,judge,
independent_judge_center_v3,000852.SH,2017-01-17,DownTrend,Shock,2017-01-17 11:05:00+08:00,2017-01-17 11:10:00+08:00,19,7.0,15.0,2017-01-17 13:20:00+08:00,True,39,judge,
independent_judge_center_v3,000852.SH,2017-01-19,UpTrend,Range,2017-01-19 13:45:00+08:00,2017-01-19 13:50:00+08:00,33,21.0,29.0,2017-01-19 14:30:00+08:00,True,40,judge,
independent_judge_center_v3,000852.SH,2017-01-26,Range,UpTrend,2017-01-26 11:30:00+08:00,2017-01-26 13:05:00+08:00,24,12.0,20.0,2017-01-26 13:45:00+08:00,True,41,judge,
independent_judge_center_v3,000852.SH,2017-02-06,UpTrend,Range,2017-02-06 13:45:00+08:00,2017-02-06 13:50:00+08:00,33,21.0,29.0,2017-02-06 14:30:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2017-02-10,Range,UpTrend,2017-02-10 13:20:00+08:00,2017-02-10 13:25:00+08:00,28,16.0,24.0,2017-02-10 14:05:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2017-02-13,UpTrend,Range,2017-02-13 13:05:00+08:00,2017-02-13 13:10:00+08:00,25,13.0,21.0,2017-02-13 13:50:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2017-02-16,UpTrend,Range,2017-02-16 13:25:00+08:00,2017-02-16 13:30:00+08:00,29,17.0,25.0,2017-02-16 14:10:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2017-02-22,DownTrend,UpTrend,2017-02-22 13:15:00+08:00,2017-02-22 13:20:00+08:00,27,15.0,23.0,2017-02-22 14:00:00+08:00,True,42,judge,
independent_judge_center_v3,000852.SH,2017-02-23,Range,UpTrend,2017-02-23 11:20:00+08:00,2017-02-23 11:25:00+08:00,22,10.0,18.0,2017-02-23 13:35:00+08:00,True,43,judge,
