carrier,legacy_label,convention,scope,left_label,right_label,legacy_volume_raw,legacy_open,legacy_high,legacy_low,legacy_close,tick_rows,tick_volume_raw,tick_open_x10000,tick_high_x10000,tick_low_x10000,tick_close_x10000,left_exact_tick_rows,right_exact_tick_rows,volume_equal_without_unit_conversion,legacy_minus_tick_volume_raw,open_equal_declared_scale,high_equal_declared_scale,low_equal_declared_scale,close_equal_declared_scale,all_ohlc_equal_declared_scale,legacy_zero_nonflat
588000,2025-12-01T09:40:00+08:00,"(t-60s,t]",continuous_am,2025-12-01 09:39:00,2025-12-01 09:40:00,184085.0,1.382,1.384,1.38,1.383,730,17745333.0,13820,13840,13800,13830,0,0,False,-17561248.0,True,True,True,True,True,False
588000,2025-12-01T09:40:00+08:00,"[t,t+60s)",continuous_am,2025-12-01 09:40:00,2025-12-01 09:41:00,184085.0,1.382,1.384,1.38,1.383,665,17007310.0,13830,13840,13810,13840,0,0,False,-16823225.0,False,True,False,False,False,False
588000,2025-12-01T09:40:00+08:00,"(t,t+60s]",continuous_am,2025-12-01 09:40:00,2025-12-01 09:41:00,184085.0,1.382,1.384,1.38,1.383,665,17007310.0,13830,13840,13810,13840,0,0,False,-16823225.0,False,True,False,False,False,False
588000,2025-12-01T09:41:00+08:00,"[t-60s,t)",continuous_am,2025-12-01 09:40:00,2025-12-01 09:41:00,171464.0,1.383,1.384,1.381,1.384,665,17007310.0,13830,13840,13810,13840,0,0,False,-16835846.0,True,True,True,True,True,False
588000,2025-12-01T09:41:00+08:00,"(t-60s,t]",continuous_am,2025-12-01 09:40:00,2025-12-01 09:41:00,171464.0,1.383,1.384,1.381,1.384,665,17007310.0,13830,13840,13810,13840,0,0,False,-16835846.0,True,True,True,True,True,False
588000,2025-12-01T09:41:00+08:00,"[t,t+60s)",continuous_am,2025-12-01 09:41:00,2025-12-01 09:42:00,171464.0,1.383,1.384,1.381,1.384,711,10720600.0,13840,13860,13830,13860,0,0,False,-10549136.0,False,False,False,False,False,False
588000,2025-12-01T09:41:00+08:00,"(t,t+60s]",continuous_am,2025-12-01 09:41:00,2025-12-01 09:42:00,171464.0,1.383,1.384,1.381,1.384,711,10720600.0,13840,13860,13830,13860,0,0,False,-10549136.0,False,False,False,False,False,False
588000,2025-12-01T09:42:00+08:00,"[t-60s,t)",continuous_am,2025-12-01 09:41:00,2025-12-01 09:42:00,103353.0,1.384,1.385,1.384,1.385,711,10720600.0,13840,13860,13830,13860,0,0,False,-10617247.0,True,False,False,False,False,False
588000,2025-12-01T09:42:00+08:00,"(t-60s,t]",continuous_am,2025-12-01 09:41:00,2025-12-01 09:42:00,103353.0,1.384,1.385,1.384,1.385,711,10720600.0,13840,13860,13830,13860,0,0,False,-10617247.0,True,False,False,False,False,False
588000,2025-12-01T09:42:00+08:00,"[t,t+60s)",continuous_am,2025-12-01 09:42:00,2025-12-01 09:43:00,103353.0,1.384,1.385,1.384,1.385,587,11322700.0,13850,13870,13850,13870,0,0,False,-11219347.0,False,False,False,False,False,False
