layer,index_symbol,carrier,horizon,historical_pairs,historical_trading_days,spec,effect_bp_ASSUMED,target_positive_detection,family_size,required_trading_days_CONDITIONAL,expected_eligible_pairs_CONDITIONAL,equivalent_years_NOT_FORECAST,independent_equivalent_n_required_NOT_actual_count,critical_z,not_confirmatory_sample_size
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift2,2,0.9,1,802,858,3.3085808580858087,507.8044319054892,1.959963984540054,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift2,4,0.8,1,150,161,0.6188118811881188,94.8304805871495,1.959963984540054,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift2,4,0.9,1,201,215,0.8292079207920792,126.9511079763723,1.959963984540054,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift2,6,0.8,1,67,72,0.2764026402640264,42.14688026095533,1.959963984540054,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift2,6,0.9,1,90,97,0.3712871287128713,56.42271465616547,1.959963984540054,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift2,2,0.8,7,951,1017,3.923267326732673,602.803054441482,2.690109527158867,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift2,2,0.9,7,1203,1287,4.962871287128713,762.3328475886558,2.690109527158867,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift2,4,0.8,7,238,255,0.9818481848184818,150.7007636103705,2.690109527158867,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift2,4,0.9,7,301,322,1.2417491749174918,190.58321189716395,2.690109527158867,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift2,6,0.8,7,106,114,0.43729372937293726,66.97811716016467,2.690109527158867,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift2,6,0.9,7,134,144,0.5528052805280528,84.70364973207288,2.690109527158867,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift2,2,0.8,14,1076,1151,4.438943894389439,681.5544241739476,2.9137263183343394,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift2,2,0.9,14,1342,1436,5.536303630363036,850.5928611817311,2.9137263183343394,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift2,4,0.8,14,269,288,1.1097359735973598,170.3886060434869,2.9137263183343394,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift2,4,0.9,14,336,360,1.386138613861386,212.64821529543278,2.9137263183343394,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift2,6,0.8,14,120,129,0.49504950495049505,75.72826935266085,2.9137263183343394,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift2,6,0.9,14,150,161,0.6188118811881188,94.51031790908124,2.9137263183343394,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift2,2,0.8,28,1199,1283,4.946369636963697,759.9142788926112,3.1237346303238454,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift2,2,0.9,28,1480,1583,6.105610561056105,937.8826993599507,3.1237346303238454,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift2,4,0.8,28,300,321,1.2376237623762376,189.9785697231528,3.1237346303238454,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift2,4,0.9,28,370,396,1.5264026402640263,234.47067483998768,3.1237346303238454,True
