layer,index_symbol,carrier,horizon,effect_bp_ASSUMED,family_size,target_power,budget_trading_days,prior_required_days_CONDITIONAL,required_variance_ratio,required_variance_reduction,required_information_multiplier,balanced_independent_controls_limit_ratio,infinite_controls_sufficient_in_balanced_model,measured_R_squared,real_matching_changed
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,30,6,14,0.8,243,6415.8865027055335,0.03787473483166023,0.9621252651683397,26.402825114014544,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,30,6,14,0.8,486,6415.8865027055335,0.07574946966332045,0.9242505303366796,13.201412557007272,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,60,2,1,0.8,243,67731.04934171634,0.003587719404346117,0.9964122805956539,278.728598114059,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,60,2,1,0.8,486,67731.04934171634,0.007175438808692234,0.9928245611913078,139.3642990570295,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,60,2,14,0.8,243,121697.14855121748,0.0019967600136311407,0.9980032399863689,500.8113109103601,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,60,2,14,0.8,486,121697.14855121748,0.003993520027262281,0.9960064799727377,250.40565545518004,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,60,4,1,0.8,243,16932.762335429084,0.014350877617384468,0.9856491223826155,69.68214952851476,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,60,4,1,0.8,486,16932.762335429084,0.028701755234768936,0.9712982447652311,34.84107476425738,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,60,4,14,0.8,243,30424.28713780437,0.007987040054524563,0.9920129599454754,125.20282772759002,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,60,4,14,0.8,486,30424.28713780437,0.015974080109049126,0.9840259198909509,62.60141386379501,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,60,6,1,0.8,243,7525.672149079592,0.03228947463911506,0.967710525360885,30.96984423489544,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,60,6,1,0.8,486,7525.672149079592,0.06457894927823012,0.9354210507217698,15.48492211744772,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,60,6,14,0.8,243,13521.905394579719,0.01797084012268027,0.9820291598773198,55.64570121226222,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,60,6,14,0.8,486,13521.905394579719,0.03594168024536054,0.9640583197546395,27.82285060613111,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,60,2,1,0.8,243,61293.40698101875,0.003964537329035273,0.9960354626709648,252.23624272024176,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,60,2,1,0.8,486,61293.40698101875,0.007929074658070545,0.9920709253419294,126.11812136012088,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,60,2,14,0.8,243,110130.18293790174,0.0022064795818692007,0.9977935204181309,453.2106293740812,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,60,2,14,0.8,486,110130.18293790174,0.0044129591637384015,0.9955870408362616,226.6053146870406,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,60,4,1,0.8,243,15323.351745254688,0.01585814931614109,0.984141850683859,63.05906068006044,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,60,4,1,0.8,486,15323.351745254688,0.03171629863228218,0.9682837013677178,31.52953034003022,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,60,4,14,0.8,243,27532.545734475436,0.008825918327476803,0.9911740816725232,113.3026573435203,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,60,4,14,0.8,486,27532.545734475436,0.017651836654953606,0.9823481633450464,56.65132867176015,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,60,6,1,0.8,243,6810.378553446529,0.03568083596131745,0.9643191640386826,28.026249191137975,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,60,6,1,0.8,486,6810.378553446529,0.0713616719226349,0.9286383280773651,14.013124595568987,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,60,6,14,0.8,243,12236.686993100195,0.019858316236822802,0.9801416837631772,50.35673659712015,0.5,False,False,False
