symbol,cell,event_day,control_day,event_entry_idx,control_entry_idx,side,parent_direction,horizon,event_signed_return,control_signed_return,incremental_return,match_distance
000688.SH,R1_A,2025-03-25,2025-03-25,271455,271449,SHORT,-1,5,0.0003162343200482365,0.0040435251146777595,-0.003727290794629523,0.12089531739652735
000688.SH,R1_A,2025-03-25,2025-03-25,271455,271449,SHORT,-1,15,0.002414880262186947,0.006112970751199098,-0.0036980904890121513,0.12089531739652735
000688.SH,R1_A,2025-03-25,2025-03-25,271455,271449,SHORT,-1,30,0.006018034939100914,0.010566570346846604,-0.004548535407745691,0.12089531739652735
000688.SH,R1_A,2025-03-25,2025-03-25,271455,271449,SHORT,-1,60,0.010215326823378446,0.014552875766505435,-0.00433754894312699,0.12089531739652735
000688.SH,R1_A,2025-03-25,2025-03-25,271455,271449,SHORT,-1,120,0.005002251971673144,0.009918080469964341,-0.004915828498291197,0.12089531739652735
000688.SH,R1_A,2025-03-25,2025-03-25,271455,271449,SHORT,-1,240,0.003449828945981337,0.011129230681200308,-0.007679401735218971,0.12089531739652735
000688.SH,R1_A,2025-03-26,2025-08-01,271681,292561,LONG,1,1,0.0008488554919985347,0.0011928732977697365,-0.0003440178057712018,0.7939504285360958
000688.SH,R1_A,2025-03-26,2025-08-01,271681,292561,LONG,1,5,6.752259595432797e-05,0.0024048325683039273,-0.0023373099723495994,0.7939504285360958
000688.SH,R1_A,2025-03-26,2025-08-01,271681,292561,LONG,1,15,0.0023922291138140928,0.0015173348347630178,0.000874894279051075,0.7939504285360958
000688.SH,R1_A,2025-03-26,2025-08-01,271681,292561,LONG,1,30,-0.0012250528123161075,0.002633864241475825,-0.0038589170537919326,0.7939504285360958
000688.SH,R1_A,2025-03-26,2025-08-01,271681,292561,LONG,1,60,-0.0035690515004486167,-7.634389105737327e-05,-0.0034927076093912435,0.7939504285360958
000688.SH,R1_A,2025-03-26,2025-08-01,271681,292561,LONG,1,120,-0.0034725906490852276,-0.009638416245980164,0.006165825596894936,0.7939504285360958
000688.SH,R1_A,2025-03-26,2025-08-01,271681,292561,LONG,1,240,-0.006414646615671149,-0.008665031634999987,0.0022503850193288377,0.7939504285360958
000688.SH,R1_A,2025-03-26,2025-05-22,271890,280793,SHORT,-1,1,0.0002910106800921852,-0.00023249701797301014,0.0005235076980651954,0.3274253815789828
000688.SH,R1_A,2025-03-26,2025-05-22,271890,280793,SHORT,-1,5,0.0012222448563862232,-0.0010613994298769303,0.0022836442862631534,0.3274253815789828
000688.SH,R1_A,2025-03-26,2025-05-22,271890,280793,SHORT,-1,15,0.001251345924395575,-0.0008996623738957155,0.0021510082982912904,0.3274253815789828
000688.SH,R1_A,2025-03-26,2025-05-22,271890,280793,SHORT,-1,30,0.00017460640805522232,0.0013848735418393598,-0.0012102671337841375,0.3274253815789828
000688.SH,R1_A,2025-03-26,2025-05-22,271890,280793,SHORT,-1,60,-0.0059463182298789,-0.00018195418797906093,-0.005764364041899839,0.3274253815789828
000688.SH,R1_A,2025-03-26,2025-05-22,271890,280793,SHORT,-1,120,-0.013958812288410893,-0.005256454319390258,-0.008702357969020635,0.3274253815789828
000688.SH,R1_A,2025-03-26,2025-05-22,271890,280793,SHORT,-1,240,-0.011524022931641564,0.007086104765178014,-0.01861012769681958,0.3274253815789828
000688.SH,R1_A,2025-03-27,2025-04-22,271958,276034,SHORT,-1,1,-0.0012858814088620996,0.0008969051843090714,-0.002182786593171171,0.41923410535302374
000688.SH,R1_A,2025-03-27,2025-04-22,271958,276034,SHORT,-1,5,-0.0021463584418597303,-0.0003153952296470752,-0.0018309632122126551,0.41923410535302374
000688.SH,R1_A,2025-03-27,2025-04-22,271958,276034,SHORT,-1,15,-0.002861811255813196,-0.007382219593928596,0.0045204083381154,0.41923410535302374
000688.SH,R1_A,2025-03-27,2025-04-22,271958,276034,SHORT,-1,30,-0.0066517775135115365,-0.00497733096786912,-0.0016744465456424162,0.41923410535302374
000688.SH,R1_A,2025-03-27,2025-04-22,271958,276034,SHORT,-1,60,-0.011292552522938148,-0.00381431105854535,-0.007478241464392799,0.41923410535302374
000688.SH,R1_A,2025-03-27,2025-04-22,271958,276034,SHORT,-1,120,-0.008595102048708947,-0.006731716932781406,-0.0018633851159275405,0.41923410535302374
000688.SH,R1_A,2025-03-27,2025-04-22,271958,276034,SHORT,-1,240,-0.002001334222815343,0.0019317957815888631,-0.003933130004404206,0.41923410535302374
000688.SH,R1_A,2025-03-28,2025-08-01,272162,292567,LONG,1,1,-0.0008900202886346076,0.00029457040232605536,-0.001184590690960663,0.5958125793857242
