symbol,cell,event_day,event_entry_idx,control_day,control_entry_idx,side,parent_direction,clock_bucket,calendar_year,severity,match_distance,event_parent_abs_drift,event_parent_efficiency,event_log1p_parent_age_bars,event_local_vol_30_over_240,control_parent_abs_drift,control_parent_efficiency,control_log1p_parent_age_bars,control_local_vol_30_over_240
000688.SH,R1_B,2023-03-03,152057,2023-03-03,152056,LONG,1,26,2023,0.8542286779678013,0.005014834637553431,0.0018458298165732528,0.00012026458208063827,6.320768294250582,0.48198594781549997,0.0018458298165732528,0.00012026458208063827,6.318968113746434,0.48353272915915546
000688.SH,R1_B,2023-03-08,152695,2023-03-08,152694,LONG,1,20,2023,1.5877083339438942,0.0077463686730329636,0.16424362721007565,0.009611256068963243,4.795790545596741,1.380310561675785,0.16424362721007565,0.009611256068963243,4.787491742782046,1.3791075339298804
000688.SH,R1_B,2023-03-16,154132,2023-03-16,154131,LONG,1,20,2023,1.8832992142502027,0.005562793595026184,0.4384306323161238,0.053899752753427795,5.231108616854587,1.3653756282689486,0.4384306323161238,0.053899752753427795,5.225746673713202,1.3642720405278042
000688.SH,R1_B,2023-03-21,154923,2023-12-27,200289,LONG,1,26,2023,0.9260821900798245,0.02373065979897974,0.029124197020004516,0.0035402561383472727,6.375024819828097,0.8958340503502943,0.028684021995442795,0.0028736433892251464,6.39024066706535,0.8933515902786135
000688.SH,R1_B,2023-03-23,155281,2023-01-20,145920,LONG,1,19,2023,0.6812513672954409,0.2238865055070867,0.029124197020004516,0.0035402561383472727,6.851184927493743,0.6153865347507285,0.013397162117155413,0.0014297969688304992,6.860663671448287,0.6817009767359293
000688.SH,R1_B,2023-03-23,155349,2023-03-24,155590,LONG,1,21,2023,0.6778643459373035,0.4422824143880382,0.029124197020004516,0.0035402561383472727,6.920671504248683,0.6664836563742594,0.029124197020004516,0.0035402561383472727,7.134093721192866,0.797601871056944
000688.SH,R1_B,2023-03-24,155638,2023-03-24,155632,LONG,1,22,2023,0.6347249477124299,0.005992520778144788,0.029124197020004516,0.0035402561383472727,7.171656822768514,0.7057067496970441,0.029124197020004516,0.0035402561383472727,7.16703787691222,0.7072073554311284
000688.SH,R1_B,2023-03-27,155897,2023-03-27,155895,LONG,1,26,2023,1.695255809279828,0.04005551716291,0.35855968692366175,0.0367860268002676,4.007333185232471,1.0162141064094328,0.35855968692366175,0.0367860268002676,3.970291913552122,1.0077633594134137
000688.SH,R1_B,2023-03-30,156486,2023-10-26,189603,LONG,1,19,2023,1.217273500827746,0.5072296570706246,0.1440305917343476,0.03358829398071185,3.091042453358316,1.2058464195681515,0.11415043566951434,0.03735720901512792,2.639057329615259,1.3046266568542826
000688.SH,R1_B,2023-04-03,157020,2023-04-03,157019,LONG,1,21,2023,0.5287049747262805,0.041299486262027195,0.28682949116375156,0.059291223539805274,5.988961416889864,0.9476812145678466,0.28682949116375156,0.059291223539805274,5.986452005284438,0.9609909649712293
