carrier,index_symbol,period,index_records,missing_records,invalid_ohlcv_records,zero_volume_records,positive_volume_records,session_or_clock_boundary_comparisons,invalid_index_endpoint_comparisons,declared_action_day_comparisons,etf_endpoint_unavailable_comparisons,eligible_comparisons,record_coverage,positive_volume_coverage,invalid_index_records,declared_action_records,off_grid_ohlc_records,zero_nonflat_records,positive_flat_bar_fraction,positive_close_repeat_fraction,gap_at_most_one_reference_tick_fraction,gap_abs_bp_p50,gap_abs_bp_p90,gap_abs_bp_p95,gap_abs_bp_p99,tick_bp_p50,tick_bp_p90,tick_bp_p95,tick_bp_p99,gap_reference_ticks_p50,gap_reference_ticks_p90,gap_reference_ticks_p95,gap_reference_ticks_p99,etf_minute_range_bp_p50,etf_minute_range_bp_p90,etf_minute_range_bp_p95,etf_minute_range_bp_p99
512100.SH,000852.SH,2024-10,4320,0,0,0,4320,36,0,0,0,4284,1,1,0,0,0,0,0.00115740740740741,0.138422035480859,0.472689075630252,4.52030660034498,15.4293912847966,22.388962277204,42.9615981179454,4.19463087248322,4.46229361892012,4.49812215005324,4.57247370827618,1.07100298879516,3.60668591161736,5.25061461570605,10.6575905832952,16.4676821737341,35.9114840739919,46.3157894736829,73.7779398515598
512100.SH,000852.SH,2024-11,5040,0,0,0,5040,42,0,0,0,4998,1,1,0,0,0,0,0.00178571428571429,0.164265706282513,0.541016406562625,3.61161180818,9.628366948705,11.8935682753508,16.7681505307846,3.96353547364249,4.11353352529823,4.12711514651259,4.17019397683301,0.910758668192516,2.43653231529606,2.99376116701965,4.20024241370691,11.8623962040319,22.6057000890047,24.9024948176048,36.9913686806408
512100.SH,000852.SH,2024-12,5280,0,0,0,5280,44,0,0,0,5236,1,1,0,0,0,0,0.00435606060606061,0.214667685255921,0.623567608861726,2.96567727140405,7.70130493441371,9.40414268869465,12.951514942822,3.94011032308905,4.02738622633911,4.05186385737439,4.10450074218416,0.752773320668255,1.95022893572835,2.37699869075179,3.30411134904815,8.00320128051132,16.0192230676812,19.9521149241816,28.1035341687912
512100.SH,000852.SH,2025-01,4320,0,0,0,4320,36,0,238,0,4046,1,1,0,240,0,0,0.00393518518518518,0.194018783984182,0.644834404349975,3.10445804183451,7.96914721949269,9.87317639273299,13.5173321426257,4.28265524625268,4.40722785368003,4.43458980044346,4.46030330062444,0.724197460650172,1.84753890394127,2.30449509119469,3.150718070878,8.78348704435662,20.8142744325347,25.2951096121408,35.7298779538444
512100.SH,000852.SH,2025-02,4320,0,0,0,4320,36,0,0,0,4284,1,1,0,0,0,0,0.00509259259259259,0.207049486461251,0.643090569561158,2.96230065957077,7.68756382150904,9.26075053593749,12.6778747797388,3.9984006397441,4.151100041511,4.23011844331641,4.25743891887736,0.740438767729133,1.92660316894621,2.34230787781875,3.19532055318044,8.07102502017847,16.0384923817161,19.4863406383484,26.6607152079455
512100.SH,000852.SH,2025-03,5040,0,0,0,5040,42,0,0,0,4998,1,1,0,0,0,0,0.0117063492063492,0.232092837134854,0.640656262505002,2.82926178086323,7.03177710344309,8.49777937338334,11.5346069937065,3.86473444382775,3.97456279809221,3.99680255795364,4.04858299595142,0.728688573195169,1.81539779407813,2.1681300971243,2.96250912130631,7.86782061369089,15.420200462606,16.1750137733476,23.9925179856106
512100.SH,000852.SH,2025-04,5040,0,0,0,5040,42,0,0,0,4998,1,1,0,0,0,0,0.0329365079365079,0.271308523409364,0.657062825130052,3.02126528942087,7.95422330951352,10.1237830352483,17.2896430620665,4.23370025402201,4.45295472079044,4.52488687782805,4.58511582516226,0.719846740366409,1.85478569350201,2.34276100914405,3.90423961333183,8.45665961945126,18.0913613749435,25.7510729613744,49.8513912883704
512100.SH,000852.SH,2025-05,4560,0,0,0,4560,38,0,0,0,4522,1,1,0,0,0,0,0.0192982456140351,0.309155241043786,0.710305174701459,2.58032492505851,6.48206685551765,7.86713364929075,10.2426883586585,4.10172272354389,4.15454923140839,4.16319733555371,4.16840350145894,0.629636075419102,1.58137945388622,1.91385416381974,2.50735963324778,8.13835232061433,12.3253903040249,12.5052105043773,20.528907590792
512100.SH,000852.SH,2025-06,4800,0,0,0,4800,40,0,0,0,4760,1,1,0,0,0,0,0.0366666666666667,0.347478991596639,0.747899159663866,2.38729301137434,5.89902824680104,7.13119981446361,9.39129026309907,4.04694455685957,4.10677618069815,4.11861614497529,4.12881915772089,0.592186282101647,1.46099492436372,1.7620873502181,2.30459824885102,4.11776834420486,11.8296529968459,12.2149837133555,16.4747364357523
512100.SH,000852.SH,2025-07,5520,0,0,0,5520,46,0,0,0,5474,1,1,0,0,0,0,0.0233695652173913,0.309097552064304,0.711180124223602,2.41696237567484,5.98626292572613,7.18715995227415,9.68316930939605,3.82848392036753,3.92310710082385,3.92772977219167,3.93742653968175,0.638002662388291,1.56642117509266,1.89099943059815,2.57439641349418,7.39098300073828,11.485451761103,11.8017309205355,18.7520174646359
512100.SH,000852.SH,2025-08,5040,0,0,0,5040,42,0,0,0,4998,1,1,0,0,0,0,0.00753968253968254,0.231892757102841,0.633453381352541,2.61802942809544,6.70114567348073,8.22689038823139,12.0875753579931,3.49345074094107,3.6697247706422,3.70644922164566,3.72300819061802,0.747402453633573,1.9460741575246,2.41691582278552,3.59849500358567,7.22543352601157,14.1708307896383,17.082628769644,26.1047646497551
512100.SH,000852.SH,2025-09,5280,0,0,0,5280,44,0,0,0,5236,1,1,0,0,0,0,0.00227272727272727,0.179717341482047,0.546409472880061,3.01263536080855,7.87464292280328,9.74778866226252,14.0535944785119,3.33000333000333,3.42935528120713,3.46620450606586,3.51370344342937,0.89912812192978,2.34294434198783,2.89612754377805,4.16648812124745,9.93706525339554,16.9952413324266,20.3811275234247,27.4769886705277
