carrier,horizon,spec,n,mean_increment_bp,iid_se_bp,graph_meat_bp2,graph_variance_bp2,occupied_blocks,edge_density,maximum_degree,mean_degree,largest_block_pair_fraction,incidence_effective_blocks,maximum_blocks_per_pair,graph_se_bp,used_se_bp,df_heuristic,point_lo_bp,point_hi_bp,family14_lo_bp,family14_hi_bp,family56_lo_bp,family56_hi_bp,p_two_sided_approx,p_bonferroni14_approx,p_bonferroni56_approx,inference_status,iid_floor_applied
588000.SH,1,L5_shift0,1802,0.6304762827847618,0.47766892562921587,751248.1896465514,0.23243731316142877,243,0.016406596162817425,80,29.548279689234185,0.026637069922308545,188.10801781737194,2,0.4821175304440078,0.4821175304440078,242,-0.3192061251158471,1.5801586906853706,-0.788179424602898,2.0491319901724214,-0.9913970211808595,2.252349586750383,0.19220814677912582,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
588000.SH,1,L5_shift2,1802,0.6304762827847618,0.47766892562921587,770926.8911388802,0.23852593282723417,243,0.016484244478804165,91,29.688124306326305,0.032741398446170925,186.72200785562265,2,0.48839116784318914,0.48839116784318914,242,-0.33156403101083265,1.592516596580356,-0.806639926327929,2.0675924918974524,-1.0125019268811806,2.2734544924507043,0.19796159655567144,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
588000.SH,5,L20_shift0,1802,1.921663816144551,0.9174122564824303,2982947.112048438,0.9344490751066417,61,0.055689865230871244,176,100.29744728079912,0.058823529411764705,52.76617151807858,2,0.9666690618338013,0.9666690618338013,60,-0.011962202850170245,3.8552898351392724,-1.0105005219059946,4.853828154195097,-1.4585473020147035,5.301874934303806,0.05138888103823897,0.7194443345353456,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
588000.SH,5,L20_shift10,1802,1.921663816144551,0.9174122564824303,1965092.49384874,0.6154267252240063,62,0.054775956876836826,182,98.65149833518313,0.05660377358490566,53.54740949674464,3,0.7844913799551951,0.9174122564824303,61,0.08718463091885709,3.756143001370245,-0.8592279053859968,4.7025555376750985,-1.2835637270679616,5.126891359357064,0.040362328473401356,0.5650725986276189,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,True
588000.SH,5,L5_shift0,1802,1.921663816144551,0.9174122564824303,3337743.8807990593,1.0327029473960412,243,0.016435560217193432,80,29.60044395116537,0.026637069922308545,188.22537168264554,3,1.0162199306233082,1.0162199306233082,242,-0.08010158280730528,3.923429215096407,-1.0686157599001953,4.911943392189297,-1.4969631209797682,5.34029075326887,0.0598198569908126,0.8374779978713764,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
588000.SH,5,L5_shift2,1802,1.921663816144551,0.9174122564824303,2628193.5551841394,0.8131670157136718,243,0.016524917406225793,91,29.761376248612653,0.032741398446170925,186.71823595408648,3,0.9017577367085197,0.9174122564824303,242,0.11453126908411848,3.7287963632049834,-0.7778690809222237,4.621196713211326,-1.1645679708419212,5.007895603131023,0.03724167523546178,0.5213834532964648,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,True
588000.SH,15,L20_shift0,1802,3.1180378283437116,1.4820703822472652,25944751.82273035,8.127549176684179,61,0.0558211278602774,176,100.5338512763596,0.058823529411764705,52.767347385197105,3,2.8508856828508886,2.8508856828508886,60,-2.584582593874558,8.820658250561982,-5.529456605021588,11.76553226170901,-6.850829348901716,13.086905005589138,0.2784544470560437,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
588000.SH,15,L20_shift10,1802,3.1180378283437116,1.4820703822472652,18968681.83470347,5.9406026840415125,62,0.054913998327479924,197,98.90011098779134,0.05715871254162042,53.49737502973909,3,2.437335160383469,2.437335160383469,61,-1.755715042896496,7.99179069958392,-4.270096701375781,10.506172358063205,-5.397450964072478,11.6335266207599,0.20564281552309746,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
588000.SH,15,L5_shift0,1802,3.1180378283437116,1.4820703822472652,18538847.106712855,5.7359470145575004,243,0.016537858792223584,88,29.784683684794672,0.02719200887902331,188.06373724996118,3,2.394983719058963,2.394983719058963,242,-1.5996373474666075,7.83571300415403,-3.929325330209011,10.165400986896435,-4.938836091583482,11.174911748270905,0.19418720760169722,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
588000.SH,15,L5_shift2,1802,3.1180378283437116,1.4820703822472652,16440020.560332164,5.086566942890198,243,0.016585310540882147,91,29.870144284128745,0.032741398446170925,187.06666208035222,3,2.2553418682962896,2.2553418682962896,242,-1.324568716475611,7.560644373163035,-3.5184219797496366,9.75449763643706,-4.46907223616061,10.705147892848032,0.16808896980800087,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
588000.SH,30,L20_shift0,1801,3.9631356026402735,2.03899988681556,43581624.117193334,13.66771069132783,61,0.055875748041211676,188,100.57634647418101,0.05885619100499723,52.81772457708749,3,3.6969867042400666,3.6969867042400666,60,-3.431938849866811,11.358210055147358,-7.2508082385493875,15.177079443829934,-8.964345015858866,16.890616221139414,0.288017152812008,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
588000.SH,30,L20_shift10,1801,3.9631356026402735,2.03899988681556,31540239.662898988,9.888732424001125,62,0.055048429884631996,196,99.0871737923376,0.05719044975013881,53.543680096275146,3,3.1446354993863954,3.1446354993863954,61,-2.3249517081451008,10.251222913425648,-5.568992146562284,13.49526335184283,-7.023497990683799,14.949769195964345,0.21236659175774267,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
588000.SH,30,L5_shift0,1801,3.9631356026402735,2.03899988681556,28466110.002579864,8.817243061357745,243,0.016663581960639152,87,29.99444752915047,0.026651860077734593,189.14856711915536,4,2.9693842899425706,2.9693842899425706,242,-1.8860025107526108,9.812273716033157,-4.774430870984393,12.700702076264939,-6.026057498547081,13.952328703827627,0.18324010187104087,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
588000.SH,30,L5_shift2,1801,3.9631356026402735,2.03899988681556,24924003.443374775,7.720092292288479,243,0.01674871984699858,114,30.147695724597448,0.032759578012215435,187.21953421810315,4,2.7785054062010532,2.7785054062010532,242,-1.5100063967716912,9.436277602052238,-4.21275990749484,12.139031112775386,-5.3839290832081605,13.310200288488707,0.15505461708196877,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
588000.SH,60,L20_shift0,1801,1.5596486215341627,3.0199826992186103,114318558.80013488,35.8516466510798,61,0.05615460546609908,216,101.07828983897835,0.05885619100499723,52.76743560149267,3,5.987624458086846,5.987624458086846,60,-10.417383541016273,13.536680784084597,-16.6024086934438,19.721705936512123,-19.377645809087834,22.49694305215616,0.7953864260126671,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
588000.SH,60,L20_shift10,1801,1.5596486215341627,3.0199826992186103,91445654.63135542,28.67072728844245,62,0.05552100684804738,202,99.93781232648529,0.05719044975013881,53.545843399324404,3,5.354505326212912,5.354505326212912,61,-9.147346514742198,12.266643757810522,-14.671112881096668,17.790410124164993,-17.14776217506926,20.267059418137585,0.7718270258521799,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
588000.SH,60,L5_shift0,1801,1.5596486215341627,3.0199826992186103,68839612.00270173,21.322744527523128,243,0.01709914245172435,89,30.778456413103832,0.027207107162687396,189.29684266737868,4,4.6176557393901865,4.6176557393901865,242,-7.5362795381439875,10.655576781212313,-12.028041631927959,15.147338874996283,-13.974431966083804,17.09372920915213,0.735838612754334,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
588000.SH,60,L5_shift2,1801,1.5596486215341627,3.0199826992186103,65565580.35065618,20.308628694202454,243,0.017228700104880004,116,31.01166018878401,0.03331482509716824,188.4523435302682,4,4.506509591047427,4.506509591047427,242,-7.3173421730375585,10.436639416105884,-11.700988356027793,14.820285599096117,-13.600529422714953,16.719826665783277,0.7295773210490579,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
588000.SH,120,L20_shift0,1802,2.1274849756809218,4.410144494049368,158556162.14943123,49.669891388469516,61,0.05684288109762674,218,102.37402885682575,0.058823529411764705,52.809757763247084,3,7.0476869530697455,7.0476869530697455,60,-11.969987886782809,16.224957838144654,-19.250023796900578,23.50499374826242,-22.516595130575844,26.771565081937688,0.7637950673334655,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
588000.SH,120,L20_shift10,1802,2.1274849756809218,4.410144494049368,92171734.38792636,28.866299591567607,62,0.056526741525395004,255,101.8046614872364,0.05771365149833518,53.62660092475142,4,5.372736694792293,5.372736694792293,61,-8.615966035193502,12.870935986555345,-14.158540081144146,18.41351003250599,-16.643622031985938,20.89859198334778,0.6935029962292963,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
588000.SH,120,L5_shift0,1802,2.1274849756809218,4.410144494049368,141273202.290613,43.71014002388528,243,0.018183263583371183,109,32.7480577136515,0.02885682574916759,189.11111630734695,4,6.61136446007065,6.61136446007065,242,-10.895680795051407,15.15065074641325,-17.326796050485683,21.581766001847527,-20.113555524755714,24.368525476117558,0.7478879663124314,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
588000.SH,120,L5_shift2,1802,2.1274849756809218,4.410144494049368,171800791.17466435,53.15542167021314,243,0.01833239765058381,117,33.016648168701444,0.03496115427302997,189.08406137128392,4,7.290776479238212,7.290776479238212,242,-12.233996872721187,16.48896682408303,-19.32600097002506,23.580970921386903,-22.39913973752315,26.654109688884994,0.7706857143524363,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
588000.SH,240,L20_shift0,1801,6.462454941251031,6.857078112304419,555348711.7666374,174.1638977202217,61,0.059479301622555374,242,107.06274292059966,0.059966685174902834,53.074560427331406,4,13.197117023055517,13.197117023055517,60,-19.93570949683424,32.8606193793363,-33.56791059737025,46.492820479872314,-39.68471522302037,52.60962510552243,0.6261411587521339,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
588000.SH,240,L20_shift10,1801,6.462454941251031,6.857078112304419,481017196.4045592,150.81211802531618,62,0.059911777407613054,260,107.8411993337035,0.05941143808995003,53.65609395979568,4,12.280558538817205,12.280558538817205,61,-18.09403954987884,31.018949432380904,-30.762798302378464,43.68770818488053,-36.4429937232059,49.367903605707966,0.6006333785741539,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
588000.SH,240,L5_shift0,1801,6.462454941251031,6.857078112304419,606006781.3024163,187.70773692261466,243,0.02178419396631501,117,39.211549139367015,0.03331482509716824,194.0064239828694,4,13.700647317649436,13.700647317649436,242,-20.52528749250691,33.45019737500897,-33.85240665315872,46.77731653566078,-39.62737321969465,52.55228310219671,0.6375732456824409,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
588000.SH,240,L5_shift2,1801,6.462454941251031,6.857078112304419,690882138.1355491,213.9974776370775,243,0.02207477327410698,123,39.73459189339256,0.03498056635202665,193.16128711146504,4,14.628652625483918,14.628652625483918,242,-22.353286392437287,35.27819627493935,-36.58311015035986,49.50802003286192,-42.74924068908331,55.67415057158537,0.6590523660297766,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
