symbol,stage,group,feature,original_events,matched_events,original_event_SD,matched_SMD,retention_shift_SMD,matched_event_control_variance_ratio,gate_required,balance_pass
000852.SH,PAST_CALIPER_EXCLUSIVE,YEAR_2015,parent_abs_drift,645,35,0.199862706372,-0.0645277395634,-0.449754638598,1.01026491131,True,False
000852.SH,PAST_CALIPER_EXCLUSIVE,YEAR_2015,parent_efficiency,645,35,0.148640800907,0.00536845893375,-0.607022870808,1.15626436808,True,False
000852.SH,PAST_CALIPER_EXCLUSIVE,YEAR_2015,log1p_parent_age_bars,645,35,1.17364897435,-0.0722988513342,0.633415213897,0.965350692469,True,False
000852.SH,PAST_CALIPER_EXCLUSIVE,YEAR_2015,local_vol_30_over_240,645,35,0.562680224068,0.00358073922364,-0.55016525189,0.902897178279,True,False
000852.SH,PAST_CALIPER_EXCLUSIVE,YEAR_2016,parent_abs_drift,326,30,0.197894075269,0.0667868238053,-0.537676700338,0.982745289357,True,False
000852.SH,PAST_CALIPER_EXCLUSIVE,YEAR_2016,parent_efficiency,326,30,0.129725475172,-0.00169694637263,-0.677822036534,0.982152229211,True,False
000852.SH,PAST_CALIPER_EXCLUSIVE,YEAR_2016,log1p_parent_age_bars,326,30,1.25239635452,-0.0475574245188,0.832807510446,0.970243781793,True,False
000852.SH,PAST_CALIPER_EXCLUSIVE,YEAR_2016,local_vol_30_over_240,326,30,0.516910206966,-0.0363885347156,-0.427283510342,1.12247685788,True,False
000852.SH,PAST_CALIPER_EXCLUSIVE,YEAR_2017,parent_abs_drift,96,31,0.213183572572,-0.0716382917023,-0.534973659587,0.926873382536,True,False
000852.SH,PAST_CALIPER_EXCLUSIVE,YEAR_2017,parent_efficiency,96,31,0.100110085606,-0.00823994897476,-0.462786709704,1.03048893153,True,False
000852.SH,PAST_CALIPER_EXCLUSIVE,YEAR_2017,log1p_parent_age_bars,96,31,1.18871488897,0.0404990135543,0.437771472115,1.0334936859,True,False
000852.SH,PAST_CALIPER_EXCLUSIVE,YEAR_2017,local_vol_30_over_240,96,31,0.510683333845,-0.0146513093937,-0.16579375292,1.03939381845,True,False
000852.SH,PAST_CALIPER_EXCLUSIVE,YEAR_2018,parent_abs_drift,209,50,0.189000732644,-0.0319001771113,-0.65035351231,1.12251498783,True,False
