pair_id,symbol,event_day,control_day,calendar_year,parent_direction,side,clock_bucket,horizon,event_bp,control_bp,difference_bp
000852.SH:DEV_R1_A:36904:1887,000852.SH,2015-08-18,2015-01-14,2015,-1,SHORT,28,60,653.14358434,-69.4265163869,722.570100727
000852.SH:DEV_R1_A:36929:19186,000852.SH,2015-08-18,2015-05-05,2015,-1,SHORT,29,60,187.341782398,-98.5061171539,285.847899552
000852.SH:DEV_R1_A:36964:30002,000852.SH,2015-08-19,2015-07-09,2015,-1,SHORT,19,60,-165.565637774,-252.976209036,87.410571262
000852.SH:DEV_R1_A:36999:35071,000852.SH,2015-08-19,2015-08-07,2015,1,LONG,20,60,-456.06783058,54.2857112593,-510.353541839
000852.SH:DEV_R1_A:37065:19060,000852.SH,2015-08-19,2015-05-05,2015,-1,SHORT,22,60,-435.139731746,90.7029924513,-525.842724197
000852.SH:DEV_R1_A:37160:11219,000852.SH,2015-08-19,2015-03-17,2015,1,LONG,28,60,70.7382270149,41.1785248591,29.5597021558
000852.SH:DEV_R1_A:37185:18689,000852.SH,2015-08-19,2015-04-30,2015,1,LONG,29,60,-156.877602147,-73.5266105375,-83.3509916094
000852.SH:DEV_R1_A:37349:13350,000852.SH,2015-08-20,2015-03-30,2015,1,LONG,27,60,-89.7618147902,64.4372270648,-154.199041855
000852.SH:DEV_R1_A:37420:27820,000852.SH,2015-08-20,2015-06-25,2015,-1,SHORT,29,60,264.318035963,466.394468687,-202.076432724
000852.SH:DEV_R1_A:37445:19201,000852.SH,2015-08-21,2015-05-06,2015,-1,SHORT,19,60,59.9786584151,-2.94590993029,62.9245683454
000852.SH:DEV_R1_A:37457:19201,000852.SH,2015-08-21,2015-05-06,2015,-1,SHORT,19,60,202.979913446,-2.94590993029,205.925823376
000852.SH:DEV_R1_A:37490:30043,000852.SH,2015-08-21,2015-07-09,2015,-1,SHORT,20,60,184.396731854,40.3706585283,144.026073326
000852.SH:DEV_R1_A:37540:19541,000852.SH,2015-08-21,2015-05-07,2015,-1,SHORT,22,60,67.1022051656,70.3225930269,-3.22038786136
000852.SH:DEV_R1_A:37570:51006,000852.SH,2015-08-21,2015-11-18,2015,-1,SHORT,26,60,-144.275481251,32.1669799087,-176.442461159
000852.SH:DEV_R1_A:37583:24360,000852.SH,2015-08-21,2015-06-04,2015,-1,SHORT,26,60,-364.060161126,-36.4736053135,-327.586555812
000852.SH:DEV_R1_A:37643:18677,000852.SH,2015-08-21,2015-04-30,2015,1,LONG,28,60,-1060.42016332,-86.6752910737,-973.744872251
000852.SH:DEV_R1_A:37693:30004,000852.SH,2015-08-24,2015-07-09,2015,-1,SHORT,19,60,83.928791068,-263.478253254,347.407044322
000852.SH:DEV_R1_A:37715:29792,000852.SH,2015-08-24,2015-07-08,2015,-1,SHORT,20,60,39.3194141361,-7.72977788365,47.0491920197
000852.SH:DEV_R1_A:37744:19512,000852.SH,2015-08-24,2015-05-07,2015,-1,SHORT,21,60,61.2420790541,57.6383923909,3.60368666321
000852.SH:DEV_R1_A:37898:9829,000852.SH,2015-08-24,2015-03-09,2015,-1,SHORT,29,60,669.241728222,-96.1609526868,765.402680909
000852.SH:DEV_R1_A:37948:30005,000852.SH,2015-08-25,2015-07-09,2015,-1,SHORT,19,60,-3.74268888333,-280.242235241,276.499546358
000852.SH:DEV_R1_A:38174:30001,000852.SH,2015-08-26,2015-07-09,2015,-1,SHORT,19,60,197.173528124,-264.910566512,462.084094636
000852.SH:DEV_R1_A:38185:30502,000852.SH,2015-08-26,2015-07-13,2015,1,LONG,19,60,-320.293376679,79.2854455215,-399.578822201
000852.SH:DEV_R1_A:38215:19475,000852.SH,2015-08-26,2015-05-07,2015,-1,SHORT,20,60,-203.326201384,-11.9540713061,-191.372130077
000852.SH:DEV_R1_A:38224:50944,000852.SH,2015-08-26,2015-11-18,2015,-1,SHORT,21,60,-545.20393426,-6.34400698531,-538.859927275
000852.SH:DEV_R1_A:38238:14942,000852.SH,2015-08-26,2015-04-09,2015,-1,SHORT,21,60,-772.430826741,-132.992045799,-639.438780943
000852.SH:DEV_R1_A:38279:57479,000852.SH,2015-08-26,2015-12-25,2015,1,LONG,23,60,116.700975394,11.4394893038,105.26148609
000852.SH:DEV_R1_A:38290:19827,000852.SH,2015-08-26,2015-05-08,2015,1,LONG,26,60,-188.480705877,110.686226796,-299.166932672
000852.SH:DEV_R1_A:38312:15291,000852.SH,2015-08-26,2015-04-10,2015,1,LONG,27,60,-334.465563886,41.5452100724,-376.010773958
000852.SH:DEV_R1_A:38327:19844,000852.SH,2015-08-26,2015-05-08,2015,1,LONG,27,60,-418.941357015,180.488766888,-599.430123903
000852.SH:DEV_R1_A:38341:19619,000852.SH,2015-08-26,2015-05-07,2015,-1,SHORT,28,60,183.396250357,59.280404015,124.115846342
000852.SH:DEV_R1_A:38363:27805,000852.SH,2015-08-26,2015-06-25,2015,-1,SHORT,28,60,70.0310774241,660.206394711,-590.175317286
000852.SH:DEV_R1_A:38402:19462,000852.SH,2015-08-27,2015-05-07,2015,-1,SHORT,19,60,-9.15872261152,-26.8251476142,17.6664250027
000852.SH:DEV_R1_A:38534:19560,000852.SH,2015-08-27,2015-05-07,2015,-1,SHORT,26,60,283.432368874,52.0221242821,231.410244592
000852.SH:DEV_R1_A:38585:19619,000852.SH,2015-08-27,2015-05-07,2015,-1,SHORT,28,60,-611.660203347,59.280404015,-670.940607362
000852.SH:DEV_R1_A:38600:19148,000852.SH,2015-08-27,2015-05-05,2015,-1,SHORT,28,60,-668.917433371,-5.8861587225,-663.031274648
000852.SH:DEV_R1_A:38607:27801,000852.SH,2015-08-27,2015-06-25,2015,-1,SHORT,28,60,-477.453229031,852.367155667,-1329.8203847
000852.SH:DEV_R1_A:38617:42950,000852.SH,2015-08-27,2015-09-24,2015,1,LONG,29,60,428.753364406,-3.69254737715,432.445911783
000852.SH:DEV_R1_A:38632:8851,000852.SH,2015-08-27,2015-03-03,2015,1,LONG,29,60,265.481232421,-11.8370078234,277.318240244
000852.SH:DEV_R1_A:38644:2888,000852.SH,2015-08-28,2015-01-21,2015,1,LONG,19,60,87.0449378953,48.0059662767,39.0389716186
000852.SH:DEV_R1_A:38651:2888,000852.SH,2015-08-28,2015-01-21,2015,1,LONG,19,60,61.7084946844,48.0059662767,13.7025284077
000852.SH:DEV_R1_A:38668:42982,000852.SH,2015-08-28,2015-09-25,2015,1,LONG,19,60,135.663015452,-169.097261184,304.760276636
000852.SH:DEV_R1_A:38703:42801,000852.SH,2015-08-28,2015-09-24,2015,1,LONG,21,60,-13.1551772695,-0.329228112029,-12.8259491574
000852.SH:DEV_R1_A:38727:22388,000852.SH,2015-08-28,2015-05-25,2015,1,LONG,21,60,-12.4398480213,101.103489881,-113.543337902
000852.SH:DEV_R1_A:38780:13320,000852.SH,2015-08-28,2015-03-30,2015,1,LONG,26,60,249.824721879,26.7969771534,223.027744726
000852.SH:DEV_R1_A:38832:42899,000852.SH,2015-08-28,2015-09-24,2015,1,LONG,28,60,75.4309813303,44.5929750862,30.8380062441
000852.SH:DEV_R1_A:38868:13177,000852.SH,2015-08-28,2015-03-27,2015,1,LONG,29,60,-211.415489641,9.24828430557,-220.663773947
000852.SH:DEV_R1_A:38883:35058,000852.SH,2015-08-31,2015-08-07,2015,1,LONG,19,60,-127.404048141,155.820220775,-283.224268916
000852.SH:DEV_R1_A:39125:39124,000852.SH,2015-09-01,2015-09-01,2015,-1,SHORT,19,60,263.165026967,293.203796274,-30.0387693074
