day,event_contribution_bp,control_contribution_bp,difference_contribution_bp,symbol,horizon,view
2016-02-18,4.15692118285,0,4.15692118285,000852.SH,1,SIGNED
2016-02-19,-1.72604112003,-17.2204809206,15.4944398006,000852.SH,1,SIGNED
2016-02-22,1.29507149691,0,1.29507149691,000852.SH,1,SIGNED
2016-02-23,1.14482115404,0,1.14482115404,000852.SH,1,SIGNED
2016-02-24,0,-1.59144417434,1.59144417434,000852.SH,1,SIGNED
2016-02-25,-12.6651651242,-20.9966228752,8.33145775109,000852.SH,1,SIGNED
2016-02-26,-27.3029920694,0,-27.3029920694,000852.SH,1,SIGNED
2016-02-29,5.68263032432,0,5.68263032432,000852.SH,1,SIGNED
2016-03-01,0.689125121103,0,0.689125121103,000852.SH,1,SIGNED
2016-03-02,20.2987449007,0,20.2987449007,000852.SH,1,SIGNED
2016-03-03,21.7240514129,0,21.7240514129,000852.SH,1,SIGNED
2016-03-04,5.12587181239,0,5.12587181239,000852.SH,1,SIGNED
2016-03-07,0,-6.35549751145,6.35549751145,000852.SH,1,SIGNED
2016-03-08,-27.7853088792,-66.3863079797,38.6009991005,000852.SH,1,SIGNED
2016-03-09,-3.45071125757,0,-3.45071125757,000852.SH,1,SIGNED
2016-03-10,2.31391811724,14.7703781983,-12.456460081,000852.SH,1,SIGNED
2016-03-11,6.04891995095,0,6.04891995095,000852.SH,1,SIGNED
2016-03-14,2.27761695216,0,2.27761695216,000852.SH,1,SIGNED
2016-03-15,1.22330756403,0,1.22330756403,000852.SH,1,SIGNED
2016-03-16,0,-21.496083689,21.496083689,000852.SH,1,SIGNED
2016-03-17,-6.74463445216,24.0547957756,-30.7994302277,000852.SH,1,SIGNED
2016-03-18,0.432129779405,0,0.432129779405,000852.SH,1,SIGNED
2016-03-21,-0.729460105242,0,-0.729460105242,000852.SH,1,SIGNED
2016-03-22,-2.24221115618,0,-2.24221115618,000852.SH,1,SIGNED
2016-03-23,-0.860802974998,0,-0.860802974998,000852.SH,1,SIGNED
2016-03-24,-6.94208832712,0,-6.94208832712,000852.SH,1,SIGNED
2016-03-25,0.162313690528,0,0.162313690528,000852.SH,1,SIGNED
2016-03-28,18.6779530774,0,18.6779530774,000852.SH,1,SIGNED
2016-03-29,2.31386178556,0,2.31386178556,000852.SH,1,SIGNED
2016-03-30,-0.494739974426,0,-0.494739974426,000852.SH,1,SIGNED
2016-03-31,0.11851925714,0,0.11851925714,000852.SH,1,SIGNED
2016-04-01,2.23178423199,0,2.23178423199,000852.SH,1,SIGNED
2016-04-05,-0.560728050968,0,-0.560728050968,000852.SH,1,SIGNED
2016-04-06,7.22170281062,0,7.22170281062,000852.SH,1,SIGNED
2016-04-07,-5.88594895641,0,-5.88594895641,000852.SH,1,SIGNED
2016-04-08,0.879453886701,0,0.879453886701,000852.SH,1,SIGNED
2016-04-11,-0.15358757382,5.16598072581,-5.31956829963,000852.SH,1,SIGNED
2016-04-12,0,-5.77431018805,5.77431018805,000852.SH,1,SIGNED
2016-04-13,0,-3.17213777486,3.17213777486,000852.SH,1,SIGNED
2016-04-14,-8.01479385002,-7.97866929588,-0.0361245541382,000852.SH,1,SIGNED
2016-04-15,1.7690100371,-4.87823275417,6.64724279128,000852.SH,1,SIGNED
2016-04-18,3.29131216778,5.87047675903,-2.57916459126,000852.SH,1,SIGNED
2016-04-19,0,0,0,000852.SH,1,SIGNED
2016-04-20,-15.8487734521,-35.7979798326,19.9492063806,000852.SH,1,SIGNED
2016-04-21,0,32.73337659,-32.73337659,000852.SH,1,SIGNED
2016-04-22,-2.4723975939,-17.0170025539,14.54460496,000852.SH,1,SIGNED
2016-04-25,-6.93936743404,17.57987398,-24.519241414,000852.SH,1,SIGNED
2016-04-26,0.0202118342891,0,0.0202118342891,000852.SH,1,SIGNED
2016-04-27,1.84998672533,0,1.84998672533,000852.SH,1,SIGNED
2016-04-28,4.26923725515,0,4.26923725515,000852.SH,1,SIGNED
2016-04-29,0,-5.81212817918,5.81212817918,000852.SH,1,SIGNED
2016-05-03,0,5.60849195231,-5.60849195231,000852.SH,1,SIGNED
2016-05-04,-0.409127942631,2.40172900769,-2.81085695032,000852.SH,1,SIGNED
2016-05-05,-2.10686857084,0,-2.10686857084,000852.SH,1,SIGNED
2016-05-06,2.99068587108,0,2.99068587108,000852.SH,1,SIGNED
2016-05-09,17.4175512443,0,17.4175512443,000852.SH,1,SIGNED
2016-05-10,10.8821325453,0,10.8821325453,000852.SH,1,SIGNED
2016-05-11,-2.81609327945,1.70000534128,-4.51609862073,000852.SH,1,SIGNED
2016-05-12,-7.12045853632,0,-7.12045853632,000852.SH,1,SIGNED
