symbol,horizon,view,n,event_var_bp2,control_var_bp2,event_control_cov_bp2,covariance_term_bp2,difference_var_bp2,event_sd_bp,control_sd_bp,difference_sd_bp,event_control_correlation,event_share_of_difference,control_share_of_difference,covariance_share_of_difference,cancellation_relative_to_marginal_sum,top_1pct_centered_square_share,top_5pct_centered_square_share,variance_identity_error_bp2
000852.SH,60,LONG,919,14889.6115478,6683.05948922,251.819077655,-503.638155311,21069.0328817,122.02299598,81.7499815854,145.151758108,0.0252440645233,0.70670598083,0.317198208704,-0.0239041895343,0.0233461194697,0.279108458849,0.57985744524,3.63797880709e-12
000852.SH,60,SHORT,833,28880.7676396,13627.952814,2493.45972649,-4986.91945297,37521.8010006,169.94342482,116.73882308,193.705449073,0.125684777669,0.769706327239,0.363200924545,-0.132907251784,0.117315209674,0.239480735763,0.54863252534,1.45519152284e-11
000852.SH,120,POOLED_SIGNED,1752,39986.7944177,25511.3284737,2417.68514616,-4835.37029231,60662.752599,199.966983319,159.722661115,246.298097027,0.0756963449917,0.659165512683,0.420543535871,-0.0797090485536,0.0738245628861,0.205142522335,0.521034115662,7.27595761418e-12
000852.SH,120,POOLED_UNSIGNED,1752,40158.0589308,25425.7623111,2428.98572018,-4857.97144035,60725.8498016,200.394757743,159.45457758,246.426154865,0.076015405035,0.661300896769,0.418697513401,-0.0799984101701,0.0740727110492,0.20386696485,0.517295047057,7.27595761418e-12
000852.SH,120,YEAR_2015,645,73605.8412993,46235.76985,1464.85680852,-2929.71361703,116911.897532,271.303964769,215.025044704,341.923818317,0.0251101893049,0.629583839224,0.395475317961,-0.0250591571848,0.024446547313,0.152123300058,0.413173478337,1.45519152284e-11
000852.SH,120,YEAR_2016,326,38986.1457616,19769.2343595,4168.96202793,-8337.92405586,50417.4560652,197.449096634,140.603109352,224.538317588,0.150168161384,0.773266816777,0.392110905674,-0.165377722451,0.141909116045,0.203709032275,0.50767160774,0
000852.SH,120,YEAR_2017,96,5353.917288,4001.43277026,2269.73925278,-4539.47850557,4815.8715527,73.1704673212,63.2568792327,69.396480838,0.490379580019,1.11172343976,0.830884446662,-0.942607886422,0.485228075625,0.218614383927,0.621741009131,1.81898940355e-12
000852.SH,120,YEAR_2018,209,12348.8196825,9433.65480388,1648.6210851,-3297.24217021,18485.2323161,111.125243228,97.1270034742,135.960407164,0.152745398255,0.668037029304,0.510334662965,-0.178371692269,0.151371331677,0.194921847163,0.400516538455,3.63797880709e-12
000852.SH,120,YEAR_2019,201,11367.5517443,8152.11371879,3353.26739174,-6706.53478348,12813.1306796,106.618721359,90.289056473,113.195100069,0.348336995181,0.887179880432,0.636231216446,-0.523411096878,0.343578366963,0.213592736297,0.441014195617,1.81898940355e-12
000852.SH,120,YEAR_2020,275,15998.8252134,15499.7795538,2524.99124429,-5049.98248858,26448.6222787,126.48646257,124.498110644,162.630323983,0.16034413122,0.604902026459,0.586033532882,-0.190935559341,0.160324005647,0.135357977674,0.424217572748,2.54658516496e-11
